YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,148.5,131.4,95.5,102,
1947,67.8,30.9,75.6,92,70,218.2,84.8,112.1,91.3,173.9,43.6,64.8,1125
1948,71.2,66.3,56.7,127.1,242.6,104.8,123.5,119.8,81.5,248.7,109.4,55.2,1406.8
1949,45.4,68.2,102.8,142.8,122.4,115.8,127.1,45.4,38.5,82.4,72.7,77.7,1041.2
1950,46.1,114.1,29.3,80.5,57.4,165.1,63,113.2,48.8,95,133.9,48.7,995.1
1951,103,49.1,22.4,109.3,89.2,55.9,152.5,93.7,34,151.9,150.4,98.3,1109.7
1952,64.2,84.6,28.1,73.4,79.3,244.4,63.7,73.4,89.8,167.4,216.5,108.7,1293.5
1953,135.5,38.8,72.1,143.1,196.4,208.1,211.4,109.4,57.1,85.1,80.8,64.3,1402.1
1954,17.8,33.4,194,113.2,129.4,115.3,136.2,121.9,31.3,34.9,58.3,176.6,1162.3
1955,26.6,36.5,40.5,143.9,90.5,141.4,103.4,99.5,92.4,131.9,68.4,88.5,1063.5
1956,49,53.4,37.1,298.8,90.6,351,141.4,184.2,78.8,186.6,106.9,146.4,1724.2
1957,25.8,13.7,134.2,57.5,163,88,105.4,78.3,58.8,139.6,76.3,82.7,1023.3
1958,41,317.7,41.3,29,124.3,55.4,140.5,113.6,56.9,76.9,131.6,209,1337.2
1959,115.2,74.2,72.6,189.6,124.9,62.3,100.1,101.4,83,131.4,44.2,71.9,1170.8
1960,68,163.6,104.4,24.4,136.8,157.7,121.4,97.3,220.2,53.4,69.2,107.6,1324
1961,66.9,44.5,37.8,84.1,77.7,204.4,186.8,69.3,97.1,123.9,38.8,85.1,1116.4
1962,97.3,53.9,183.7,164.1,100.7,188.8,108.7,123.5,148.2,187.4,136.3,149.1,1641.7
1963,32.9,36.9,73.3,28.9,89.5,110.9,181,85.5,85,31.5,76.5,76.9,908.8
1964,62.2,103.1,147.8,28.8,157.5,97,168.1,162.2,138.1,198.8,58.1,122.1,1443.8
1965,125.3,185.9,76.1,103.6,90.8,102.3,156.7,128.3,30.4,50.3,103.1,102.4,1255.2
1966,140,155.3,65.7,83.4,108.9,165.2,138.2,122.2,89,61.8,115.4,131.3,1376.4
1967,58.9,212.2,171.7,41.2,103.6,35,68.1,130.9,117.6,18.6,250.9,136.2,1344.9
1968,45.4,43.4,28.5,193.4,169.9,196.2,63.6,149.9,96.2,98.2,76.7,156.7,1318.1
1969,108.3,98.3,34.8,98.5,92,89.8,76.5,105.4,126,51.6,50.2,145.1,1076.5
1970,16.7,18.9,106.6,64.6,115.4,108.6,111.8,179.9,195.9,104.4,49.1,47.7,1119.6
1971,71.2,129.1,46.5,82,101.7,135.3,79.6,125.2,236.3,165,112,83.8,1367.7
1972,57.2,45.4,235.5,64.8,125,117.3,144.3,113.5,87.5,98.7,76.8,103.3,1269.3
1973,58.6,5.9,46.9,65.5,139.4,103.1,63.2,137.4,124.6,80.1,124,51.2,999.9
1974,8.7,61.5,52.2,60.3,101.2,131,172.8,135,130.8,83.1,27.3,128.4,1092.3
1975,176.8,21.2,86.6,103.2,179.5,140.8,132.1,116.3,49.5,104.7,80.2,70.9,1261.8
1976,139.9,84.3,44,106.3,76.6,123.7,196.5,163.8,153.5,121.4,78.3,92.1,1380.4
1977,130.9,26.6,33.4,64.2,144.4,183.7,160.8,91.1,97.7,115.6,83.9,135.2,1267.5
1978,32.7,26.8,19.4,166.1,23.8,148.8,153.3,95,134.5,54.6,109.3,102.9,1067.2
1979,17.9,202.8,138.3,87.2,121.9,45.7,184.4,91,82.9,128.8,138.7,130.1,1369.7
1980,173.5,72.2,109.3,87.6,39.5,126.1,128.9,108.7,82.8,46.7,143.8,99.6,1218.7
1981,59.4,47.1,70.6,125.4,41.3,193.7,152.7,124.1,93.7,65.9,82.6,92.4,1148.9
1982,56.8,66.6,136,94,96.8,53.9,59.8,30.8,59.4,110.5,38,72.7,875.3
1983,76.2,19,53.6,131.4,82.2,104.6,31.3,73.9,127.1,150.4,65.6,60.5,975.8
1984,103.9,85.4,101.7,50.9,78.8,65.2,117.1,141.4,93.1,,,,
