PERIOD,YEAR,STATS_VALUE
September,1946,148.5
October,1946,131.4
November,1946,95.5
December,1946,102
January,1947,67.8
February,1947,30.9
March,1947,75.6
April,1947,92
May,1947,70
June,1947,218.2
July,1947,84.8
August,1947,112.1
September,1947,91.3
October,1947,173.9
November,1947,43.6
December,1947,64.8
January,1948,71.2
February,1948,66.3
March,1948,56.7
April,1948,127.1
May,1948,242.6
June,1948,104.8
July,1948,123.5
August,1948,119.8
September,1948,81.5
October,1948,248.7
November,1948,109.4
December,1948,55.2
January,1949,45.4
February,1949,68.2
March,1949,102.8
April,1949,142.8
May,1949,122.4
June,1949,115.8
July,1949,127.1
August,1949,45.4
September,1949,38.5
October,1949,82.4
November,1949,72.7
December,1949,77.7
January,1950,46.1
February,1950,114.1
March,1950,29.3
April,1950,80.5
May,1950,57.4
June,1950,165.1
July,1950,63
August,1950,113.2
September,1950,48.8
October,1950,95
November,1950,133.9
December,1950,48.7
January,1951,103
February,1951,49.1
March,1951,22.4
April,1951,109.3
May,1951,89.2
June,1951,55.9
July,1951,152.5
August,1951,93.7
September,1951,34
October,1951,151.9
November,1951,150.4
December,1951,98.3
January,1952,64.2
February,1952,84.6
March,1952,28.1
April,1952,73.4
May,1952,79.3
June,1952,244.4
July,1952,63.7
August,1952,73.4
September,1952,89.8
October,1952,167.4
November,1952,216.5
December,1952,108.7
January,1953,135.5
February,1953,38.8
March,1953,72.1
April,1953,143.1
May,1953,196.4
June,1953,208.1
July,1953,211.4
August,1953,109.4
September,1953,57.1
October,1953,85.1
November,1953,80.8
December,1953,64.3
January,1954,17.8
February,1954,33.4
March,1954,194
April,1954,113.2
May,1954,129.4
June,1954,115.3
July,1954,136.2
August,1954,121.9
September,1954,31.3
October,1954,34.9
November,1954,58.3
December,1954,176.6
January,1955,26.6
February,1955,36.5
March,1955,40.5
April,1955,143.9
May,1955,90.5
June,1955,141.4
July,1955,103.4
August,1955,99.5
September,1955,92.4
October,1955,131.9
November,1955,68.4
December,1955,88.5
January,1956,49
February,1956,53.4
March,1956,37.1
April,1956,298.8
May,1956,90.6
June,1956,351
July,1956,141.4
August,1956,184.2
September,1956,78.8
October,1956,186.6
November,1956,106.9
December,1956,146.4
January,1957,25.8
February,1957,13.7
March,1957,134.2
April,1957,57.5
May,1957,163
June,1957,88
July,1957,105.4
August,1957,78.3
September,1957,58.8
October,1957,139.6
November,1957,76.3
December,1957,82.7
January,1958,41
February,1958,317.7
March,1958,41.3
April,1958,29
May,1958,124.3
June,1958,55.4
July,1958,140.5
August,1958,113.6
September,1958,56.9
October,1958,76.9
November,1958,131.6
December,1958,209
January,1959,115.2
February,1959,74.2
March,1959,72.6
April,1959,189.6
May,1959,124.9
June,1959,62.3
July,1959,100.1
August,1959,101.4
September,1959,83
October,1959,131.4
November,1959,44.2
December,1959,71.9
January,1960,68
February,1960,163.6
March,1960,104.4
April,1960,24.4
May,1960,136.8
June,1960,157.7
July,1960,121.4
August,1960,97.3
September,1960,220.2
October,1960,53.4
November,1960,69.2
December,1960,107.6
January,1961,66.9
February,1961,44.5
March,1961,37.8
April,1961,84.1
May,1961,77.7
June,1961,204.4
July,1961,186.8
August,1961,69.3
September,1961,97.1
October,1961,123.9
November,1961,38.8
December,1961,85.1
January,1962,97.3
February,1962,53.9
March,1962,183.7
April,1962,164.1
May,1962,100.7
June,1962,188.8
July,1962,108.7
August,1962,123.5
September,1962,148.2
October,1962,187.4
November,1962,136.3
December,1962,149.1
January,1963,32.9
February,1963,36.9
March,1963,73.3
April,1963,28.9
May,1963,89.5
June,1963,110.9
July,1963,181
August,1963,85.5
September,1963,85
October,1963,31.5
November,1963,76.5
December,1963,76.9
January,1964,62.2
February,1964,103.1
March,1964,147.8
April,1964,28.8
May,1964,157.5
June,1964,97
July,1964,168.1
August,1964,162.2
September,1964,138.1
October,1964,198.8
November,1964,58.1
December,1964,122.1
January,1965,125.3
February,1965,185.9
March,1965,76.1
April,1965,103.6
May,1965,90.8
June,1965,102.3
July,1965,156.7
August,1965,128.3
September,1965,30.4
October,1965,50.3
November,1965,103.1
December,1965,102.4
January,1966,140
February,1966,155.3
March,1966,65.7
April,1966,83.4
May,1966,108.9
June,1966,165.2
July,1966,138.2
August,1966,122.2
September,1966,89
October,1966,61.8
November,1966,115.4
December,1966,131.3
January,1967,58.9
February,1967,212.2
March,1967,171.7
April,1967,41.2
May,1967,103.6
June,1967,35
July,1967,68.1
August,1967,130.9
September,1967,117.6
October,1967,18.6
November,1967,250.9
December,1967,136.2
January,1968,45.4
February,1968,43.4
March,1968,28.5
April,1968,193.4
May,1968,169.9
June,1968,196.2
July,1968,63.6
August,1968,149.9
September,1968,96.2
October,1968,98.2
November,1968,76.7
December,1968,156.7
January,1969,108.3
February,1969,98.3
March,1969,34.8
April,1969,98.5
May,1969,92
June,1969,89.8
July,1969,76.5
August,1969,105.4
September,1969,126
October,1969,51.6
November,1969,50.2
December,1969,145.1
January,1970,16.7
February,1970,18.9
March,1970,106.6
April,1970,64.6
May,1970,115.4
June,1970,108.6
July,1970,111.8
August,1970,179.9
September,1970,195.9
October,1970,104.4
November,1970,49.1
December,1970,47.7
January,1971,71.2
February,1971,129.1
March,1971,46.5
April,1971,82
May,1971,101.7
June,1971,135.3
July,1971,79.6
August,1971,125.2
September,1971,236.3
October,1971,165
November,1971,112
December,1971,83.8
January,1972,57.2
February,1972,45.4
March,1972,235.5
April,1972,64.8
May,1972,125
June,1972,117.3
July,1972,144.3
August,1972,113.5
September,1972,87.5
October,1972,98.7
November,1972,76.8
December,1972,103.3
January,1973,58.6
February,1973,5.9
March,1973,46.9
April,1973,65.5
May,1973,139.4
June,1973,103.1
July,1973,63.2
August,1973,137.4
September,1973,124.6
October,1973,80.1
November,1973,124
December,1973,51.2
January,1974,8.7
February,1974,61.5
March,1974,52.2
April,1974,60.3
May,1974,101.2
June,1974,131
July,1974,172.8
August,1974,135
September,1974,130.8
October,1974,83.1
November,1974,27.3
December,1974,128.4
January,1975,176.8
February,1975,21.2
March,1975,86.6
April,1975,103.2
May,1975,179.5
June,1975,140.8
July,1975,132.1
August,1975,116.3
September,1975,49.5
October,1975,104.7
November,1975,80.2
December,1975,70.9
January,1976,139.9
February,1976,84.3
March,1976,44
April,1976,106.3
May,1976,76.6
June,1976,123.7
July,1976,196.5
August,1976,163.8
September,1976,153.5
October,1976,121.4
November,1976,78.3
December,1976,92.1
January,1977,130.9
February,1977,26.6
March,1977,33.4
April,1977,64.2
May,1977,144.4
June,1977,183.7
July,1977,160.8
August,1977,91.1
September,1977,97.7
October,1977,115.6
November,1977,83.9
December,1977,135.2
January,1978,32.7
February,1978,26.8
March,1978,19.4
April,1978,166.1
May,1978,23.8
June,1978,148.8
July,1978,153.3
August,1978,95
September,1978,134.5
October,1978,54.6
November,1978,109.3
December,1978,102.9
January,1979,17.9
February,1979,202.8
March,1979,138.3
April,1979,87.2
May,1979,121.9
June,1979,45.7
July,1979,184.4
August,1979,91
September,1979,82.9
October,1979,128.8
November,1979,138.7
December,1979,130.1
January,1980,173.5
February,1980,72.2
March,1980,109.3
April,1980,87.6
May,1980,39.5
June,1980,126.1
July,1980,128.9
August,1980,108.7
September,1980,82.8
October,1980,46.7
November,1980,143.8
December,1980,99.6
January,1981,59.4
February,1981,47.1
March,1981,70.6
April,1981,125.4
May,1981,41.3
June,1981,193.7
July,1981,152.7
August,1981,124.1
September,1981,93.7
October,1981,65.9
November,1981,82.6
December,1981,92.4
January,1982,56.8
February,1982,66.6
March,1982,136
April,1982,94
May,1982,96.8
June,1982,53.9
July,1982,59.8
August,1982,30.8
September,1982,59.4
October,1982,110.5
November,1982,38
December,1982,72.7
January,1983,76.2
February,1983,19
March,1983,53.6
April,1983,131.4
May,1983,82.2
June,1983,104.6
July,1983,31.3
August,1983,73.9
September,1983,127.1
October,1983,150.4
November,1983,65.6
December,1983,60.5
January,1984,103.9
February,1984,85.4
March,1984,101.7
April,1984,50.9
May,1984,78.8
June,1984,65.2
July,1984,117.1
August,1984,141.4
September,1984,93.1
