YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1984,,,,0,0,0,,,,,,,
1985,0,0,0,,,,,,,,,,
1986,0,0,0,0,0,0,,,,,,0,
1987,0,,0,0,0,0,,,,,,0,
1988,,,,0,,0,,,,,,,
1989,,,,,,52.1,,,,,,,
1990,,,,,,,,,,,,0,
1991,,,,0,0,,,,,,,,
1992,,,,0,,0,,,,,,,
1993,0,,,,,34.6,,,,,0,0,
1994,0,0,0,0,0,,,,,,,,
1995,,,,0,0,129.9,,,,34.5,0,0,
1996,,,,,,,,,,,0,,
1997,,0,0,0,0,13,,,,,0,0,
1998,0,0,0,,,,,0,11.9,0,0,0,
1999,,,,,,,,31.8,,,,0,
2000,0,0,0,0,0,1.9,,,,80.7,0,0,
2001,,0,0,0,0,0,9.5,0.7,0,0,0,0,
2002,0,0,0,0,21,65.6,22.6,36.8,0,0,0,0,146
2003,0,0,0,79.8,13.1,3.9,,,,,,0,
2004,0,0,0,0,7.2,58.2,36.4,93,27.4,0,0,0,222.2
2005,0,0,0,0,0,27.1,,,,,,0,
2006,0,0,0,0,49.1,100.9,31.8,44.5,0,0,0,0,226.3
2007,0,0,0,0,0,0,26.1,0,0,0,0,0,26.1
2008,0,0,0,0,0,11.2,94.8,37,5.4,0,0,0,148.4
2009,0,0,0,0,0,12.5,38.9,3.6,0,0,0,0,55
2010,0,0,,,,79.8,40.7,78.3,5.2,0,0,0,
2011,0,0,0,0,0,0,0,0,0,18.6,7.2,0,25.8
2012,0,0,0,0,0,32.1,14.8,177.4,0,0,0,0,224.3
2013,0,0,0,0,42.6,161.7,20.3,0,0,0,0,0,224.6
2014,0,0,,,,,,,0,0,0,0,
2015,0,0,0,0,0,34.9,28.7,30.2,22.4,0,0,0,116.2
2016,0,0,0,0,0,0,0,37,0,0,0,0,37
2017,0,0,0,0,0,,117.5,48.9,29.1,0,0,0,
2018,0,0,0,,,30.1,32.4,23.9,24.8,0,0,0,
2019,0,0,0,0,,,,,,,0,0,
2020,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,11.2,11.2
2022,0,0,0,0,0,0,140,21.2,8.8,8.8,0,0,178.8
2023,0,0,0,0,0,6.3,181.4,34.8,0,0,,,
2024,,0,0,0,0,0,,40.4,3.8,0,0,0,
2025,0,0,0,0,0,26.6,,,,,,,
