YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,18,20,23,19,
1947,10,5,7,14,15,19,19,22,15,16,6,13,161
1948,8,6,11,16,22,15,22,14,13,26,18,11,182
1949,14,9,9,16,11,22,25,15,13,18,12,14,178
1950,8,5,7,12,13,20,8,15,13,15,10,9,135
1951,9,13,7,21,17,11,18,17,8,18,21,19,179
1952,11,14,8,10,18,25,9,13,15,14,23,13,173
1953,13,7,11,20,14,23,16,16,15,17,11,8,171
1954,6,9,15,12,12,19,22,18,8,9,10,10,150
1955,7,8,9,10,15,17,15,22,12,17,12,5,149
1956,8,9,9,22,14,24,19,20,16,22,19,14,196
1957,4,4,12,13,24,19,13,18,14,24,14,15,174
1958,6,11,10,12,17,12,15,19,11,20,8,19,160
1959,9,9,12,15,18,11,19,18,13,14,9,14,161
1960,6,13,15,11,18,18,17,14,18,12,13,10,165
1961,8,9,10,11,17,23,17,10,15,9,4,10,143
1962,12,8,18,15,19,21,15,19,12,19,14,11,183
1963,6,10,9,9,14,16,19,14,15,6,15,12,145
1964,14,6,14,8,17,19,23,24,18,16,17,10,186
1965,13,11,16,11,17,15,16,17,11,12,15,11,165
1966,13,11,10,13,11,14,13,14,11,14,18,14,156
1967,8,8,11,11,14,7,11,18,15,11,19,16,149
1968,10,5,9,20,18,23,15,19,14,18,15,9,175
1969,12,8,4,18,9,17,13,15,14,11,8,14,143
1970,5,6,10,9,15,13,18,13,22,13,9,,
1971,15,11,5,7,13,20,10,14,21,14,17,8,155
1972,8,7,13,17,15,17,16,16,15,15,12,15,166
1973,10,1,10,16,23,15,7,21,22,11,16,5,157
1974,5,6,9,8,17,16,25,21,22,19,7,14,169
1975,14,8,12,9,19,15,16,19,16,15,12,13,168
1976,18,5,5,13,12,16,24,18,15,19,18,17,180
1977,11,6,6,15,16,22,18,17,21,18,13,13,176
1978,6,6,8,13,8,17,20,16,15,10,9,19,147
1979,7,13,14,12,14,12,19,21,18,16,13,14,173
1980,13,11,14,12,14,15,20,18,23,12,23,18,193
1981,13,13,17,14,16,23,21,20,21,10,15,12,195
1982,8,5,9,8,17,9,15,15,11,22,11,24,154
1983,20,6,13,18,21,21,9,13,23,18,13,18,193
1984,13,11,19,12,15,15,21,26,14,,,,
