PERIOD,YEAR,STATS_VALUE
June,1977,1.7
July,1977,1.6
August,1977,2.4
September,1977,2.2
October,1977,1.2
November,1977,2.1
December,1977,1.5
January,1978,2.6
February,1978,1.1
March,1978,1.7
April,1978,1.6
May,1978,2.2
June,1978,3
July,1978,2.4
August,1978,1.7
September,1978,1.9
October,1978,1.4
November,1978,1.9
December,1978,1.5
January,1979,2.3
February,1979,2.3
March,1979,2
April,1979,1.9
May,1979,3.7
June,1979,2.6
July,1979,2.8
August,1979,2
September,1979,1.8
October,1979,1.9
November,1979,1.4
December,1979,1.8
January,1980,2.3
February,1980,1.9
March,1980,2
April,1980,1.8
May,1980,2.1
June,1980,2.7
July,1980,2.6
August,1980,2.2
September,1980,1.4
October,1980,1.8
November,1980,1.7
January,1981,2.1
February,1981,1.9
March,1981,2.5
April,1981,1.7
May,1981,3
June,1981,2.9
July,1981,2.3
August,1981,1.8
September,1981,1.5
October,1981,2.1
November,1981,1.7
December,1981,2.1
January,1982,1.7
February,1982,2
March,1982,2.2
April,1982,1.8
May,1982,2
June,1982,2.5
July,1982,3.2
August,1982,1.5
September,1982,2.1
October,1982,1.5
November,1982,2.1
December,1982,2.5
January,1983,1.3
February,1983,1.7
April,1983,2.4
May,1983,2.4
June,1983,2.9
July,1983,2.4
August,1983,1.9
September,1983,1.9
October,1983,2.3
November,1983,1.9
December,1983,1.9
January,1984,1.6
February,1984,1.7
March,1984,1.4
April,1984,2.1
May,1984,2.7
June,1984,2.6
July,1984,2.8
August,1984,1.9
September,1984,1.7
