PERIOD,YEAR,STATS_VALUE
October,1946,0
November,1946,0
December,1946,15.7
January,1947,36.3
February,1947,81.4
March,1947,66.3
April,1947,0
May,1947,0
June,1947,0
July,1947,0
August,1947,0
September,1947,0
October,1947,0
November,1947,24
December,1947,55.8
January,1948,69
February,1948,54.2
March,1948,39.5
April,1948,11.9
May,1948,0
June,1948,0
July,1948,0
August,1948,0
September,1948,0
October,1948,0
November,1948,0
December,1948,47.2
January,1949,77.3
February,1949,40.7
March,1949,11.2
April,1949,10.6
May,1949,0
June,1949,0
July,1949,0
August,1949,0
September,1949,0
October,1949,0
November,1949,3.9
December,1949,56.1
January,1950,129
February,1950,20.4
March,1950,67.2
April,1950,7.8
May,1950,9.2
June,1950,0
July,1950,0
August,1950,0
September,1950,0
October,1950,0
November,1950,0
December,1950,81.9
January,1951,44.9
February,1951,62.9
March,1951,67.7
April,1951,3.4
May,1951,0
June,1951,0
July,1951,0
August,1951,0
September,1951,0
October,1951,0
November,1951,0
December,1951,0
January,1952,18.5
February,1952,21.9
March,1952,62.1
April,1952,27.4
May,1952,0
June,1952,0
July,1952,0
August,1952,0
September,1952,0
October,1952,0
November,1952,0
December,1952,0
January,1953,0
February,1953,28.2
March,1953,47.4
April,1953,0
May,1953,0
June,1953,0
July,1953,0
August,1953,0
September,1953,0
October,1953,0
November,1953,0
December,1953,52.5
January,1954,130.8
February,1954,81.6
March,1954,2.8
April,1954,0
May,1954,0
June,1954,0
July,1954,0
August,1954,0
September,1954,0
October,1954,27
November,1954,56.7
December,1954,35.2
January,1955,81
February,1955,75.9
March,1955,63.9
April,1955,16.2
May,1955,0
June,1955,0
July,1955,0
August,1955,0
September,1955,0
October,1955,0
November,1955,0
December,1955,30.4
January,1956,89.5
February,1956,46.3
March,1956,60.8
April,1956,0
May,1956,0
June,1956,0
July,1956,0
August,1956,0
September,1956,0
October,1956,0
November,1956,0
December,1956,0
January,1957,47.6
February,1957,109.7
March,1957,23.2
April,1957,18.9
May,1957,0
June,1957,0
July,1957,0
August,1957,0
September,1957,0
October,1957,0
November,1957,0
December,1957,32.9
January,1958,80.7
February,1958,60.6
March,1958,0
April,1958,13.1
May,1958,5.2
June,1958,0
July,1958,0
August,1958,0
September,1958,0
October,1958,0
November,1958,0
December,1958,21.5
January,1959,32.6
February,1959,33.2
March,1959,10.5
April,1959,7.2
May,1959,0
June,1959,0
July,1959,0
August,1959,0
September,1959,0
October,1959,0
November,1959,0
December,1959,47.6
January,1960,82.4
February,1960,8.7
March,1960,15.5
April,1960,20.3
May,1960,4.1
June,1960,0
July,1960,0
August,1960,0
September,1960,0
October,1960,0
November,1960,50.2
December,1960,30.8
January,1961,63.6
February,1961,56.5
March,1961,62.4
April,1961,18
May,1961,4.1
June,1961,0
July,1961,0
August,1961,0
September,1961,0
October,1961,0
November,1961,55.5
December,1961,66.6
January,1962,75.8
February,1962,101.6
March,1962,0
April,1962,0
May,1962,0
June,1962,0
July,1962,0
August,1962,0
September,1962,0
October,1962,0
November,1962,0
December,1962,0
January,1963,106.1
February,1963,85.6
March,1963,64.6
April,1963,0
May,1963,0
June,1963,0
July,1963,0
August,1963,0
September,1963,0
October,1963,12.2
November,1963,38.4
December,1963,47.3
January,1964,74.7
