PERIOD,YEAR,STATS_VALUE
October,1946,4.2
November,1946,4.2
December,1946,0
January,1947,0
February,1947,0
March,1947,0
April,1947,0
May,1947,0
June,1947,194.1
July,1947,57
August,1947,72.5
September,1947,31.5
October,1947,99.1
November,1947,0
December,1947,0
January,1948,0
February,1948,0
March,1948,0
April,1948,0
May,1948,182.2
June,1948,84
July,1948,99.2
August,1948,87.1
September,1948,17.2
October,1948,153.3
November,1948,14.4
December,1948,0
January,1949,0
February,1949,0
March,1949,0
April,1949,21.5
May,1949,89.2
June,1949,95.6
July,1949,104.7
August,1949,13.8
September,1949,0
October,1949,0
November,1949,0
December,1949,0
January,1950,0
February,1950,0
March,1950,0
April,1950,0
May,1950,0
June,1950,90.8
July,1950,43.8
August,1950,63.3
September,1950,12.6
October,1950,0
November,1950,59.3
December,1950,0
January,1951,0
February,1951,0
March,1951,0
April,1951,0
May,1951,5.3
June,1951,35.5
July,1951,127.5
August,1951,55.9
September,1951,0
October,1951,62
November,1951,38.4
December,1951,25.4
January,1952,0
February,1952,0
March,1952,0
April,1952,0
May,1952,0
June,1952,205.5
July,1952,47.9
August,1952,26.9
September,1952,33
October,1952,74.1
November,1952,121
December,1952,29.1
January,1953,0
February,1953,0
March,1953,0
April,1953,11
May,1953,167.1
June,1953,187.7
July,1953,192.6
August,1953,64.2
September,1953,12.3
October,1953,4.2
November,1953,0
December,1953,0
January,1954,0
February,1954,0
March,1954,23.1
April,1954,30.6
May,1954,90
June,1954,88.7
July,1954,112.1
August,1954,75
September,1954,8.2
October,1954,0
November,1954,0
December,1954,0
January,1955,0
February,1955,0
March,1955,0
April,1955,0
May,1955,45.8
June,1955,114.4
July,1955,76.3
August,1955,65.6
September,1955,40.5
October,1955,51
November,1955,0
December,1955,0
January,1956,0
February,1956,0
March,1956,0
April,1956,150.1
May,1956,46.1
June,1956,331.2
July,1956,117.9
August,1956,139.5
September,1956,8.6
October,1956,98.8
November,1956,16.9
December,1956,7.2
January,1957,9.7
February,1957,0
March,1957,0
April,1957,0
May,1957,72.7
June,1957,70
July,1957,81.2
August,1957,35.2
September,1957,1.1
October,1957,62.8
November,1957,0
December,1957,0
January,1958,0
February,1958,144.2
March,1958,0
April,1958,0
May,1958,16.5
June,1958,35
July,1958,114
August,1958,77.9
September,1958,15.6
October,1958,0
November,1958,63.7
December,1958,48
January,1959,0
February,1959,0
March,1959,0
April,1959,60.2
May,1959,92.1
June,1959,43.5
July,1959,79.4
August,1959,76.1
September,1959,18.9
October,1959,52.7
November,1959,0
December,1959,0
January,1960,0
February,1960,0
March,1960,0
April,1960,0
May,1960,16.3
June,1960,136.7
July,1960,96.3
August,1960,73.6
September,1960,135.2
October,1960,0
November,1960,0
December,1960,0
January,1961,0
February,1961,0
March,1961,0
April,1961,0
May,1961,0
June,1961,155
July,1961,161.3
August,1961,21.8
September,1961,37.8
October,1961,32.2
November,1961,0
December,1961,0
January,1962,0
February,1962,0
March,1962,28.5
April,1962,62.6
May,1962,68.4
June,1962,166.4
July,1962,80.4
August,1962,81
September,1962,97.1
October,1962,97
November,1962,43.7
December,1962,4.2
January,1963,0
February,1963,0
March,1963,0
April,1963,0
May,1963,0
June,1963,55.9
July,1963,148.7
August,1963,45.4
September,1963,38.5
October,1963,0
November,1963,0
December,1963,0
January,1964,0
February,1964,0
March,1964,48.3
April,1964,0
May,1964,66.8
June,1964,79.8
July,1964,150.8
August,1964,130.8
September,1964,76
October,1964,133.1
November,1964,0
December,1964,0
January,1965,0
February,1965,73.8
March,1965,0
April,1965,19.9
May,1965,62.3
June,1965,80.8
July,1965,131.5
August,1965,90.7
September,1965,0
October,1965,0
November,1965,0
December,1965,0
January,1966,0
February,1966,6.8
March,1966,18.9
April,1966,0
May,1966,53.6
June,1966,143.6
July,1966,115.4
August,1966,87.2
September,1966,35
October,1966,0
November,1966,0
December,1966,0
January,1967,0
February,1967,89.4
March,1967,35.3
April,1967,0
May,1967,42.3
June,1967,17.5
July,1967,48.7
August,1967,85.3
September,1967,69.1
October,1967,0
November,1967,66.1
December,1967,21.6
January,1968,0
February,1968,0
March,1968,0
April,1968,12.2
May,1968,142
June,1968,177.3
July,1968,40.6
August,1968,105.4
September,1968,51.4
October,1968,23.3
November,1968,0
December,1968,8.9
January,1969,0
February,1969,0
March,1969,0
April,1969,0
May,1969,25.6
June,1969,61.1
July,1969,59
August,1969,75
September,1969,64.8
October,1969,0
November,1969,0
December,1969,0
January,1970,0
February,1970,0
March,1970,0
April,1970,0
May,1970,13.4
June,1970,85.9
July,1970,92
August,1970,146
September,1970,135.6
October,1970,20.9
November,1970,6.8
December,1970,0
January,1971,0
February,1971,0
March,1971,0
April,1971,0
May,1971,4.4
June,1971,117.5
July,1971,52.1
August,1971,83.5
September,1971,177.9
October,1971,98
November,1971,0
December,1971,30
January,1972,0
February,1972,0
March,1972,84.3
April,1972,0
May,1972,71.4
June,1972,97.1
July,1972,125.7
August,1972,74.7
September,1972,38.6
October,1972,31.5
November,1972,0
December,1972,0
January,1973,0
February,1973,0
March,1973,0
April,1973,0
May,1973,28.3
June,1973,85.8
July,1973,37.6
August,1973,99.3
September,1973,72.8
October,1973,3.1
November,1973,22.3
December,1973,0
January,1974,0
February,1974,0
March,1974,0
April,1974,0
May,1974,0
June,1974,97.1
July,1974,149.6
August,1974,99.8
September,1974,74.1
October,1974,10.2
November,1974,0
December,1974,0
January,1975,4.6
February,1975,0
March,1975,0
April,1975,0
May,1975,117.7
June,1975,125.7
July,1975,108.8
August,1975,80.8
September,1975,2.2
October,1975,13.5
November,1975,0
December,1975,0
January,1976,0
February,1976,0
March,1976,0
April,1976,0
May,1976,23.6
June,1976,103.4
July,1976,178.8
August,1976,120.8
September,1976,98.9
October,1976,42.2
November,1976,0
December,1976,0
January,1977,0
February,1977,0
March,1977,0
April,1977,0
May,1977,37.2
June,1977,168.7
July,1977,137.9
August,1977,54.1
September,1977,50.3
October,1977,53.7
November,1977,0
December,1977,0
January,1978,0
February,1978,0
March,1978,0
April,1978,1.5
May,1978,1.7
June,1978,116.8
July,1978,135.7
August,1978,62.2
September,1978,77.8
October,1978,0
November,1978,19.5
December,1978,0
January,1979,0
February,1979,12.2
March,1979,61.5
April,1979,24.8
May,1979,92.3
June,1979,25
July,1979,162.4
August,1979,60.7
September,1979,32.5
October,1979,43.3
November,1979,47.3
December,1979,0
January,1980,57.7
February,1980,0
March,1980,0
April,1980,6.3
May,1980,13.7
June,1980,104.6
July,1980,109.6
August,1980,78.5
