YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,,4.2,4.2,0,
1947,0,0,0,0,0,194.1,57,72.5,31.5,99.1,0,0,454.2
1948,0,0,0,0,182.2,84,99.2,87.1,17.2,153.3,14.4,0,637.4
1949,0,0,0,21.5,89.2,95.6,104.7,13.8,0,0,0,0,324.8
1950,0,0,0,0,0,90.8,43.8,63.3,12.6,0,59.3,0,269.8
1951,0,0,0,0,5.3,35.5,127.5,55.9,0,62,38.4,25.4,350
1952,0,0,0,0,0,205.5,47.9,26.9,33,74.1,121,29.1,537.5
1953,0,0,0,11,167.1,187.7,192.6,64.2,12.3,4.2,0,0,639.1
1954,0,0,23.1,30.6,90,88.7,112.1,75,8.2,0,0,0,427.7
1955,0,0,0,0,45.8,114.4,76.3,65.6,40.5,51,0,0,393.6
1956,0,0,0,150.1,46.1,331.2,117.9,139.5,8.6,98.8,16.9,7.2,916.3
1957,9.7,0,0,0,72.7,70,81.2,35.2,1.1,62.8,0,0,332.7
1958,0,144.2,0,0,16.5,35,114,77.9,15.6,0,63.7,48,514.9
1959,0,0,0,60.2,92.1,43.5,79.4,76.1,18.9,52.7,0,0,422.9
1960,0,0,0,0,16.3,136.7,96.3,73.6,135.2,0,0,0,458.1
1961,0,0,0,0,0,155,161.3,21.8,37.8,32.2,0,0,408.1
1962,0,0,28.5,62.6,68.4,166.4,80.4,81,97.1,97,43.7,4.2,729.3
1963,0,0,0,0,0,55.9,148.7,45.4,38.5,0,0,0,288.5
1964,0,0,48.3,0,66.8,79.8,150.8,130.8,76,133.1,0,0,685.6
1965,0,73.8,0,19.9,62.3,80.8,131.5,90.7,0,0,0,0,459
1966,0,6.8,18.9,0,53.6,143.6,115.4,87.2,35,0,0,0,460.5
1967,0,89.4,35.3,0,42.3,17.5,48.7,85.3,69.1,0,66.1,21.6,475.3
1968,0,0,0,12.2,142,177.3,40.6,105.4,51.4,23.3,0,8.9,561.1
1969,0,0,0,0,25.6,61.1,59,75,64.8,0,0,0,285.5
1970,0,0,0,0,13.4,85.9,92,146,135.6,20.9,6.8,0,500.6
1971,0,0,0,0,4.4,117.5,52.1,83.5,177.9,98,0,30,563.4
1972,0,0,84.3,0,71.4,97.1,125.7,74.7,38.6,31.5,0,0,523.3
1973,0,0,0,0,28.3,85.8,37.6,99.3,72.8,3.1,22.3,0,349.2
1974,0,0,0,0,0,97.1,149.6,99.8,74.1,10.2,0,0,430.8
1975,4.6,0,0,0,117.7,125.7,108.8,80.8,2.2,13.5,0,0,453.3
1976,0,0,0,0,23.6,103.4,178.8,120.8,98.9,42.2,0,0,567.7
1977,0,0,0,0,37.2,168.7,137.9,54.1,50.3,53.7,0,0,501.9
1978,0,0,0,1.5,1.7,116.8,135.7,62.2,77.8,0,19.5,0,415.2
1979,0,12.2,61.5,24.8,92.3,25,162.4,60.7,32.5,43.3,47.3,0,562
1980,57.7,0,0,6.3,13.7,104.6,109.6,78.5,27.9,0,0,0.4,398.7
1981,0,0,0,6.1,4.8,169.7,128.8,84.8,41.1,4,0,0,439.3
1982,0,0,0,14.8,72.3,33.4,30.7,12.3,4.3,23.1,0,0,190.9
1983,0,0,0,0,37.7,84.2,22.2,33.9,66.5,79.8,8.2,0,332.5
1984,0,0,0,0,0,33.3,97.4,104,35.1,,,,
