PERIOD,YEAR,STATS_VALUE
February,1963,94
March,1963,130
April,1963,125
May,1963,129
June,1963,183.9
July,1963,124
August,1963,109
September,1963,135.9
October,1963,39.9
November,1963,106.9
December,1963,83.1
January,1964,91.9
February,1964,31.5
March,1964,133.1
April,1964,55.1
May,1964,187.2
June,1964,195.6
July,1964,251.5
August,1964,241.6
September,1964,180.8
October,1964,182.4
November,1964,82.3
December,1964,116.1
January,1965,179.1
February,1965,135.1
March,1965,158
April,1965,127
May,1965,137.9
June,1965,182.1
July,1965,204
August,1965,347
September,1965,62
October,1965,130
November,1965,153.9
December,1965,114
January,1966,151.9
February,1966,253
March,1966,88.1
April,1966,101.6
May,1966,189.5
June,1966,198.6
July,1966,167.4
August,1966,154.2
September,1966,105.9
October,1966,47.2
November,1966,149.4
December,1966,119.6
January,1967,142
February,1967,254
March,1967,114
April,1967,59.9
May,1967,98
June,1967,88.9
July,1967,118.1
August,1967,166.1
September,1967,143
October,1967,30
November,1967,329.9
December,1967,180.1
January,1968,47
February,1968,93
March,1968,87.1
April,1968,297.9
May,1968,257
June,1968,230.1
July,1968,109
August,1968,253
September,1968,135.9
October,1968,161
November,1968,109
December,1968,128
January,1969,93
February,1969,180.9
March,1969,18.5
April,1969,176.6
May,1969,206.4
June,1969,179
July,1969,95
August,1969,144.5
September,1969,136.7
October,1969,57.3
November,1969,52.8
December,1969,149.1
January,1970,49.1
February,1970,25.7
March,1970,153
April,1970,82.5
May,1970,193.3
June,1970,192.8
July,1970,211
August,1970,260.7
September,1970,232.6
October,1970,177.8
November,1970,74.5
December,1970,40
January,1971,54.2
February,1971,198.8
March,1971,80.8
April,1971,88.2
May,1971,147.9
June,1971,127.4
July,1971,133.4
August,1971,238
September,1971,203.4
October,1971,188
November,1971,135.3
December,1971,92.8
January,1972,55
February,1972,49
March,1972,290
April,1972,152
May,1972,247
June,1972,227
July,1972,179
August,1972,172
September,1972,94
October,1972,104
November,1972,77
December,1972,67
January,1973,61.4
February,1973,6.8
March,1973,74.7
April,1973,84.3
May,1973,141.9
June,1973,208
July,1973,114
August,1973,166.3
September,1973,262.9
October,1973,88.9
November,1973,128.5
December,1973,61.9
January,1974,6.4
April,1974,147
May,1974,120.7
June,1974,140
July,1974,214.9
August,1974,173.2
September,1974,183.2
October,1974,104.9
November,1974,25.1
December,1974,107.2
January,1975,108.8
February,1975,51.6
March,1975,192.5
April,1975,118.2
May,1975,150
June,1975,248.9
July,1975,124.9
August,1975,200
September,1975,155.4
October,1975,159.5
November,1975,166.4
December,1975,70.4
January,1976,225.7
February,1976,69.6
March,1976,61.2
April,1976,108.2
May,1976,169.2
June,1976,241.8
July,1976,200.9
August,1976,151.3
September,1976,221
October,1976,110.8
November,1976,173.5
December,1976,130.5
January,1977,123.1
February,1977,53.4
March,1977,78
April,1977,118.8
May,1977,242.4
June,1977,250.1
July,1977,210.8
August,1977,88.4
September,1977,171
October,1977,146.1
November,1977,94.1
December,1977,161.4
January,1978,29
February,1978,79.4
March,1978,42.8
April,1978,255.8
May,1978,100.8
June,1978,214
July,1978,308.8
August,1978,153.1
September,1978,166.8
October,1978,84
November,1978,165.1
December,1978,142
January,1979,17.5
February,1979,161.5
March,1979,187.5
April,1979,154
May,1979,142.7
June,1979,140
July,1979,305.8
August,1979,255.6
September,1979,192.2
October,1979,191
November,1979,126.5
December,1979,144.8
January,1980,137.6
February,1980,129.7
March,1980,163.3
April,1980,133.8
May,1980,118
June,1980,151.2
July,1980,229
August,1980,130.8
September,1980,124.6
October,1980,65.3
November,1980,167.3
December,1980,88.4
January,1981,111
February,1981,38
March,1981,78
April,1981,164
May,1981,102.8
June,1981,202.9
July,1981,178
August,1981,155.1
September,1981,201.6
October,1981,62.8
November,1981,149.3
December,1981,87.1
January,1982,58.8
February,1982,127
March,1982,31.8
April,1982,224.6
May,1982,133.1
June,1982,96.3
July,1982,143.3
August,1982,65
September,1982,116.5
October,1982,164.6
November,1982,41
December,1982,87.1
January,1983,86.4
February,1983,39.9
March,1983,70.4
April,1983,161
May,1983,111.3
June,1983,194.8
July,1983,55.5
August,1983,83.1
September,1983,142.8
October,1983,229
November,1983,48.8
December,1983,202.5
January,1984,115.1
February,1984,53.4
March,1984,248.8
April,1984,67
May,1984,123.8
June,1984,118.1
July,1984,183.5
