YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1984,,,,36.2,9.9,0,,,,,,,
1985,102.7,69,,,,,,,,,,,
1986,,,15.1,28.2,7.7,,,,,,,,
1987,,,0,32.2,0,0,,,,,,,
1988,,,,18.8,,0,,,,,,,
1989,,,,,,0,,,,,,,
1990,,,,,,,,,,,,77.1,
1991,,,,,0,0,,,,,,,
1992,,,,0,,0,,,,,,,
1993,,,,,,0,,,,,,58.1,
1994,104.6,,,,5.6,0,,,,,,,
1995,,,,8.1,0,0,,,,0,,101.2,
1996,,,,,,,,,,,24.1,,
1997,,,10.1,,11.3,0,,,,,68.4,77.1,
1998,99,,,,,,,0,0,0,,,
1999,,,,,,,,0,,,,32.5,
2000,69.6,80.6,30.3,4,0,0,,,,0,0,73,
2001,,79.8,66,28.4,1.4,0,0,0,0,2.9,41.6,93.2,
2002,7.3,32.6,52.9,0,0,0,0,0,0,65.2,34,81,273.1
2003,73.4,69,60.3,0,0,0,,,,,,36.4,
2004,91.5,35,27.8,0,0,0,0,0,0,0,79.3,32.4,266
2005,88,32.6,27.8,5.4,0,0,,,,,,48.8,
2006,73.4,58.1,0,14.7,0,0,0,0,2.5,24.1,45.3,48.6,266.8
2007,99.1,79.9,37.9,6.7,0,0.6,0,0,16.9,10.6,75.5,89.2,416.4
2008,106.6,48.9,50.6,9.3,0,0,0,0,0,28.9,98.1,73.2,415.7
2009,121.1,30.4,42.6,31,0,0,0,0,0,8.2,75,94.4,402.7
2010,107,81.3,,,,0,0,0,0,36.5,79.5,106.3,
2011,102.4,82,47.5,1.6,0.9,0,0,0,0,0,0,46.9,281.4
2012,115.4,47.6,39,14.9,0.9,0,0,0,0,6.4,71.5,113.9,409.6
2013,116.1,106,43.8,1.5,0,0,0,0,14.7,,85.3,73.9,
2014,135.6,80.4,,,,,,0,0,56.6,,125.8,
2015,129.1,105.2,,,0,0,0,0,0,32.2,116.4,,
2016,30.9,,63.4,48.4,19.6,0,0,0,0,24.5,86.3,113.3,
2017,,99,44.8,,0,0,0,0,0,0,,120.4,
2018,,,,,,0,0,0,0,0,,,
2019,144.7,,,,,,,,,,89.7,100.1,
2020,105.3,96.5,,18.2,,0,0,0,0,79.5,,86.5,
2021,,,80.7,28.7,0,0,0,0,0,43.1,90.3,22.9,
2022,101.8,6.4,36.6,42,6.3,0.8,0,0,0,0,,113.8,
2023,127.1,46.9,21.3,0,0,0,0,0,0,0,,,
2024,,,35.3,30.3,0,0,0,0,0,16,85.2,67.7,
2025,52.4,,5.5,1.5,0,0,,,,,,,
