PERIOD,YEAR,STATS_VALUE
January,1969,9.9
February,1969,4
March,1969,44.8
April,1969,4.5
May,1969,0
June,1969,0
July,1969,0
August,1969,0
September,1969,0
October,1969,0
November,1969,77.4
December,1969,45.4
January,1970,131.2
February,1970,119.8
March,1970,21.9
April,1970,0
May,1970,0
June,1970,0
July,1970,0
August,1970,0
September,1970,0
October,1970,0
November,1970,0
December,1970,126.3
January,1971,107.7
February,1971,38.2
March,1971,0
April,1971,0
May,1971,0
June,1971,0
July,1971,0
August,1971,0
September,1971,0
October,1971,0
November,1971,0
December,1971,9.4
January,1973,108.8
February,1973,130.5
March,1973,44.5
April,1973,12.3
May,1973,0
June,1973,0
July,1973,0
August,1973,0
September,1973,0
October,1973,0
November,1973,0
December,1973,74
January,1974,191
June,1974,0
July,1974,0
August,1974,0
September,1974,0
October,1974,0
November,1974,51.8
December,1974,66.8
January,1975,59.8
February,1975,73
March,1975,17
April,1975,0
May,1975,0
June,1975,0
July,1975,0
August,1975,0
September,1975,0
October,1975,0
November,1975,0
December,1975,45.8
January,1976,40.6
February,1976,51.2
March,1976,75.1
April,1976,0
May,1976,0
June,1976,0
July,1976,0
August,1976,0
September,1976,0
October,1976,0
November,1976,0
December,1976,0
January,1977,16.7
February,1977,83.1
March,1977,56.7
April,1977,17
May,1977,0
June,1977,0
July,1977,0
August,1977,0
September,1977,0
October,1977,0
November,1977,0
December,1977,19.3
January,1978,83.4
February,1978,73.6
March,1978,90.9
April,1978,19.8
May,1978,0
June,1978,0
July,1978,0
August,1978,0
September,1978,0
October,1978,0
November,1978,0
December,1978,21.5
January,1979,162.7
February,1979,29.8
March,1979,0
April,1979,0
May,1979,0
June,1979,0
July,1979,0
August,1979,0
September,1979,0
October,1979,0
November,1979,0
December,1979,10.3
January,1980,9.3
February,1980,30.7
March,1980,0
April,1980,0
May,1980,0
June,1980,0
July,1980,0
August,1980,0
September,1980,0
October,1980,0
November,1980,0
December,1980,0
January,1981,57.8
February,1981,72.3
March,1981,46.5
April,1981,7
May,1981,0
June,1981,0
July,1981,0
August,1981,0
September,1981,0
October,1981,0
November,1981,0
December,1981,4.7
January,1982,117.2
February,1982,81.9
March,1982,55.6
April,1982,0
May,1982,0
June,1982,0
July,1982,0
August,1982,0
September,1982,0
October,1982,0
November,1982,47.4
December,1982,67.2
January,1983,88.5
February,1983,74.2
March,1983,35.2
April,1983,3.7
May,1983,0
June,1983,0
July,1983,0
August,1983,0
September,1983,0
October,1983,0
November,1983,9
December,1983,9.4
January,1984,9.7
February,1984,68.8
March,1984,5.9
April,1984,0
May,1984,0
June,1984,0
July,1984,0
