YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1984,,,,26,109.6,16.4,,,,,,,
1985,5.2,,,,,,,,,,,,
1986,53.8,,60.4,12.2,,,,,,,,,
1987,,,106.6,31.6,,,,,26.2,122,,,
1988,,,,20,,,,,,,,,
1989,,,33,,,86,72.8,106.8,,,,,
1990,,,,,,,,,,,76.4,50.4,
1991,,,11,,64.6,,,,,,,,
1992,,,,32.6,,51.2,,,,,50.8,,
1993,,,,,,54,21,,,,,83.4,
1994,32.6,,,,89.8,,160,11.8,,,26.4,,
1995,31.6,,,43,40,222,56,103.6,119.6,,,20.2,
1996,,,,107.8,44.6,,,,,28.7,38.9,,
1997,62.9,,74.5,,70.4,48.6,34,69.8,18.2,25.8,49.8,37.8,
1998,14.4,,,,,37.2,52.6,54.8,,,,,
1999,18,45.6,,63.2,38,97,297.8,63,27,49.6,52,45.6,
2000,47.6,18.2,48.4,58,84.4,32.6,16.8,135.2,85.8,144.8,101.8,53.2,826.8
2001,,20.8,11.2,11.6,61.8,47,82,34.6,33.6,57.4,109,26,
2002,152.8,58.6,40.4,118,61.8,85.6,34.4,79.2,44.6,40.6,97.4,46.2,859.6
2003,41.8,29.4,93.2,162.6,46.8,24.8,64,48.8,99.6,44.8,54.8,6.2,716.8
2004,22.8,68,66.4,51.6,105.4,72.2,62.4,122,83,22.6,78.2,99,853.6
2005,25,86.7,49,68,81.3,49.4,26,10.6,41.2,,18.6,50.6,
2006,40.2,51,82.8,61.2,135.2,119.1,55.6,92.4,9.6,109,67.6,113.8,937.5
2007,13.4,22.6,40.4,65.6,24.6,84.3,68.2,11.2,17.6,99.2,21.6,37.2,505.9
2008,6,54,26.4,48,42.8,107.2,125,84.5,43.6,17.6,15.4,52,622.5
2009,31,83.2,25.4,33,92.2,67.8,51.6,48.6,15.4,78.6,23,34.8,584.6
2010,28.6,26.2,,26.8,128.2,98.5,52,111.8,44,30.8,50,36.4,
2011,32.6,29.8,46.4,81,49.5,30.4,32.4,47.5,36.2,122.8,104.2,66.2,679
2012,24.6,48.8,37.7,34.6,64.8,115.5,32.2,199.6,25.7,70.6,56.2,26.1,736.4
2013,54.5,19.6,43.9,66.1,147.3,,33.8,20.8,0,,34,63,
2014,13.8,40.2,,,48.4,25.3,124.6,,,,,17,
2015,24,17.8,,,61,86,51,54.8,81,13.4,13.8,,
2016,98,,29.6,9.4,,16.6,57.8,82.4,21.2,33.4,34.6,27.2,
2017,,16.8,,,67,,128,81,65.6,40.4,,40.6,
2018,,,,,,,53.2,50.6,73.2,,,,
2019,11.8,,,,,,,,,,33.4,38.6,
2020,34.6,12.6,,21.4,,88.6,40.8,,,12.6,,56,
2021,,,10.6,46.6,61.6,51,21.8,44.4,14,43.6,38.6,169,
2022,19.6,156.2,19.6,3.4,23,48.2,237.2,43.4,56,63,,22.4,
2023,16.6,104.2,96.2,65.2,55.6,41.8,203.4,70,52,,,,
2024,26,,46.2,18.8,72.8,64.2,,72.6,55.2,57.6,30.8,114.2,
2025,82.2,,120.4,,,85.4,,,,,,,
