YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1969,18,9,8,22,25,22,20,23,21,16,6,13,203
1970,9,6,15,14,19,16,24,16,22,22,9,10,182
1971,8,16,9,19,21,27,21,21,24,23,17,12,218
1973,12,3,17,18,25,22,11,23,24,15,18,9,197
1974,1,,,19,21,17,25,20,19,18,9,11,
1975,13,10,12,15,22,22,18,21,18,16,15,13,195
1976,17,9,10,13,22,19,29,18,19,19,19,14,208
1977,12,10,7,24,22,21,20,18,22,19,15,16,206
1978,5,9,8,19,15,22,24,18,19,11,8,19,177
1979,7,15,16,14,19,22,22,24,20,13,13,15,200
1980,14,14,17,12,16,23,21,20,24,14,23,15,213
1981,11,10,14,17,13,23,19,23,25,10,17,14,196
1982,9,8,9,17,19,15,15,24,15,20,7,12,170
1983,16,5,18,16,18,24,8,15,19,19,9,18,185
1984,15,10,18,11,15,17,20,,,,,,
