STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PERIOD_INC_INC_005,Year,OCC2_INC_INC_005,Occupation,SEX_INC_INC_005,Sex,QAL_INC_INC_005,Highest qualification,MEASURE_INC_INC_005,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,5,Level 4-6 certificate or diploma,MED_WEEK_INC,,1188,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,5,Level 4-6 certificate or diploma,NO_PEOPLE,,47,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,6,Bachelors degree and level 7 qualification,AV_HOUR_EARN,,42.08,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,6,Bachelors degree and level 7 qualification,AV_WEEK_INC,,1876,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,6,Bachelors degree and level 7 qualification,MED_HOUR_EARN,,37.97,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,6,Bachelors degree and level 7 qualification,MED_WEEK_INC,,1659,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,6,Bachelors degree and level 7 qualification,NO_PEOPLE,,30.5,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,7,Postgraduate qualification,AV_HOUR_EARN,,47.24,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,7,Postgraduate qualification,AV_WEEK_INC,,2036,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,7,Postgraduate qualification,MED_HOUR_EARN,,38.36,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,7,Postgraduate qualification,MED_WEEK_INC,,1726,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,7,Postgraduate qualification,NO_PEOPLE,,14.5,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,8,Post-school qualification not elsewhere classified,AV_HOUR_EARN,,37.93,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,8,Post-school qualification not elsewhere classified,AV_WEEK_INC,,1482,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,8,Post-school qualification not elsewhere classified,MED_HOUR_EARN,,31.46,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,8,Post-school qualification not elsewhere classified,MED_WEEK_INC,,1285,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,8,Post-school qualification not elsewhere classified,NO_PEOPLE,,6,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,98,Total All Qualifications,AV_HOUR_EARN,,33.61,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,98,Total All Qualifications,AV_WEEK_INC,,1453,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,98,Total All Qualifications,MED_HOUR_EARN,,27.46,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,98,Total All Qualifications,MED_WEEK_INC,,1208,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,1,Male,98,Total All Qualifications,NO_PEOPLE,,169.9,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,1,No qualification,AV_HOUR_EARN,,21.3,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,1,No qualification,AV_WEEK_INC,,779,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,1,No qualification,MED_HOUR_EARN,,17.69,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,1,No qualification,MED_WEEK_INC,,736,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,1,No qualification,NO_PEOPLE,,13.9,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,2,Lower secondary school qualification,AV_HOUR_EARN,,26.06,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,2,Lower secondary school qualification,AV_WEEK_INC,,972,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,2,Lower secondary school qualification,MED_HOUR_EARN,,22.25,
