YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1946,,,,,,,,,,0,0,15.7,
1947,36.3,81.4,66.3,0,0,0,0,0,0,0,24,55.8,263.9
1948,69,54.2,39.5,11.9,0,0,0,0,0,0,0,47.2,221.7
1949,77.3,40.7,11.2,10.6,0,0,0,0,0,0,3.9,56.1,199.8
1950,129,20.4,67.2,7.8,9.2,0,0,0,0,0,0,81.9,315.4
1951,44.9,62.9,67.7,3.4,0,0,0,0,0,0,0,0,178.8
1952,18.5,21.9,62.1,27.4,0,0,0,0,0,0,0,0,129.9
1953,0,28.2,47.4,0,0,0,0,0,0,0,0,52.5,128.1
1954,130.8,81.6,2.8,0,0,0,0,0,0,27,56.7,35.2,334
1955,81,75.9,63.9,16.2,0,0,0,0,0,0,0,30.4,267.4
1956,89.5,46.3,60.8,0,0,0,0,0,0,0,0,0,196.6
1957,47.6,109.7,23.2,18.9,0,0,0,0,0,0,0,32.9,232.3
1958,80.7,60.6,0,13.1,5.2,0,0,0,0,0,0,21.5,181.1
1959,32.6,33.2,10.5,7.2,0,0,0,0,0,0,0,47.6,131.1
1960,82.4,8.7,15.5,20.3,4.1,0,0,0,0,0,50.2,30.8,211.9
1961,63.6,56.5,62.4,18,4.1,0,0,0,0,0,55.5,66.6,326.8
1962,75.8,101.6,0,0,0,0,0,0,0,0,0,0,177.3
1963,106.1,85.6,64.6,0,0,0,0,0,0,12.2,38.4,47.3,354.1
1964,74.7,93.4,0,9.3,0,0,0,0,0,0,0,20.8,198.2
1965,51.2,0,0,0,0,0,0,0,0,11.5,0,62.4,125.1
1966,15.6,22.2,0,0,0,0,0,0,0,0,0,0,37.9
1967,18.2,0,0,0,0,0,0,0,0,11.8,13.8,0,43.9
1968,31.3,61.1,74.5,0,0,0,0,0,0,0,0,0,166.9
1969,17.8,0,8.6,1.7,0,0,0,0,0,0,42.1,16.2,86.3
1970,122.4,113.5,25.7,0,1,0,0,0,0,0,0,,
1971,74.7,22.9,38.3,16.4,0,0,0,0,0,0,0,13,165.4
1972,72.8,77.8,4.9,0,0,0,0,0,0,0,17.8,24.4,197.8
1973,74.9,115.6,44.3,16,0,0,0,0,0,0,0,31.4,282.2
1974,137.4,79.5,18.4,17.9,0,0,0,0,0,0,42.5,12.9,308.6
1975,21.7,53.7,24.4,7,0,0,0,0,0,0,0,37.8,144.6
1976,15.6,0,62.2,0,0,0,0,0,0,0,7.3,0,85.1
1977,21.3,93.9,52.8,13.1,0,0,0,0,0,0,0,0,181
1978,75.5,80.1,69.9,26.8,0,0,0,0,0,0,0,8.3,260.6
1979,118.6,17.7,0,0,0,0,0,0,0,0,0,17,153.3
1980,0,11,18.3,0,0,0,0,0,0,0,0,0,29.2
1981,22.4,76.1,43.9,0,0,0,0,0,0,0,0,19,161.4
1982,70.6,77.9,0,0,0,0,0,0,0,0,0,41.7,190.2
1983,53.5,77.9,28.2,0,0,0,0,0,0,0,0,56.6,216.2
1984,33.9,26.7,5.1,34,0,0,0,0,0,,,,
