PERIOD,YEAR,STATS_VALUE
January,1969,18
February,1969,9
March,1969,8
April,1969,22
May,1969,25
June,1969,22
July,1969,20
August,1969,23
September,1969,21
October,1969,16
November,1969,6
December,1969,13
January,1970,9
February,1970,6
March,1970,15
April,1970,14
May,1970,19
June,1970,16
July,1970,24
August,1970,16
September,1970,22
October,1970,22
November,1970,9
December,1970,10
January,1971,8
February,1971,16
March,1971,9
April,1971,19
May,1971,21
June,1971,27
July,1971,21
August,1971,21
September,1971,24
October,1971,23
November,1971,17
December,1971,12
January,1973,12
February,1973,3
March,1973,17
April,1973,18
May,1973,25
June,1973,22
July,1973,11
August,1973,23
September,1973,24
October,1973,15
November,1973,18
December,1973,9
January,1974,1
April,1974,19
May,1974,21
June,1974,17
July,1974,25
August,1974,20
September,1974,19
October,1974,18
November,1974,9
December,1974,11
January,1975,13
February,1975,10
March,1975,12
April,1975,15
May,1975,22
June,1975,22
July,1975,18
August,1975,21
September,1975,18
October,1975,16
November,1975,15
December,1975,13
January,1976,17
February,1976,9
March,1976,10
April,1976,13
May,1976,22
June,1976,19
July,1976,29
August,1976,18
September,1976,19
October,1976,19
November,1976,19
December,1976,14
January,1977,12
February,1977,10
March,1977,7
April,1977,24
May,1977,22
June,1977,21
July,1977,20
August,1977,18
September,1977,22
October,1977,19
November,1977,15
December,1977,16
January,1978,5
February,1978,9
March,1978,8
April,1978,19
May,1978,15
June,1978,22
July,1978,24
August,1978,18
September,1978,19
October,1978,11
November,1978,8
December,1978,19
January,1979,7
February,1979,15
March,1979,16
April,1979,14
May,1979,19
June,1979,22
July,1979,22
August,1979,24
September,1979,20
October,1979,13
November,1979,13
December,1979,15
January,1980,14
February,1980,14
March,1980,17
April,1980,12
May,1980,16
June,1980,23
July,1980,21
August,1980,20
September,1980,24
October,1980,14
November,1980,23
December,1980,15
January,1981,11
February,1981,10
March,1981,14
April,1981,17
May,1981,13
June,1981,23
July,1981,19
August,1981,23
September,1981,25
October,1981,10
November,1981,17
December,1981,14
January,1982,9
February,1982,8
March,1982,9
April,1982,17
May,1982,19
June,1982,15
July,1982,15
August,1982,24
September,1982,15
October,1982,20
November,1982,7
December,1982,12
January,1983,16
February,1983,5
March,1983,18
April,1983,16
May,1983,18
June,1983,24
July,1983,8
August,1983,15
September,1983,19
October,1983,19
November,1983,9
December,1983,18
January,1984,15
February,1984,10
March,1984,18
April,1984,11
May,1984,15
June,1984,17
July,1984,20
