PERIOD,YEAR,STATS_VALUE
June,1977,14
July,1977,13.8
August,1977,14.6
September,1977,14.3
October,1977,16.9
November,1977,18.4
December,1977,21
January,1978,25.1
February,1978,26.7
March,1978,24.3
April,1978,22
May,1978,16.8
June,1978,13.3
July,1978,13.5
August,1978,14.2
September,1978,16.1
October,1978,17.4
November,1978,20.4
December,1978,22.3
January,1979,24.7
February,1979,23.6
March,1979,23
April,1979,19.9
May,1979,16.2
June,1979,14.9
July,1979,13.5
August,1979,14.4
September,1979,16.3
October,1979,17.7
November,1979,20.6
December,1979,22
January,1980,23.4
February,1980,23.7
March,1980,21.3
April,1980,18.9
May,1980,16.4
June,1980,13.9
July,1980,13
August,1980,14
September,1980,16.1
October,1980,18.7
November,1980,18.4
January,1981,24.8
February,1981,24.1
March,1981,24
April,1981,21
May,1981,16.6
June,1981,15.1
July,1981,13.8
August,1981,13.8
September,1981,15
October,1981,17.4
November,1981,19.8
December,1981,22.7
January,1982,23.9
February,1982,25.9
March,1982,22
April,1982,18.6
May,1982,16.6
June,1982,13
July,1982,12.9
August,1982,14.6
September,1982,16
October,1982,16.3
November,1982,20.5
December,1982,21
January,1983,22.1
February,1983,23
March,1983,22.9
April,1983,19.3
May,1983,16
June,1983,14.1
July,1983,13.1
August,1983,14.8
September,1983,16.8
October,1983,18.3
November,1983,20.2
December,1983,21.2
January,1984,22.7
February,1984,23.8
March,1984,22.5
April,1984,20.2
May,1984,16.3
June,1984,14.8
July,1984,14.7
August,1984,14.9
September,1984,16.2
