PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
August,2020,0.0,,0.0,,4960,NIWA Station 4960,August,2025-08-01 09:46:31.021708,8
August,2021,0.0,18.0,0.0,44.4,4960,NIWA Station 4960,August,2025-08-01 09:46:31.021708,8
August,2022,0.0,13.0,21.2,43.4,4960,NIWA Station 4960,August,2025-08-01 09:46:31.021708,8
August,2023,0.0,15.0,34.8,70.0,4960,NIWA Station 4960,August,2025-08-01 09:46:31.021708,8
August,2024,0.0,11.0,40.4,72.6,4960,NIWA Station 4960,August,2025-08-01 09:46:31.021708,8
December,1986,,,0.0,,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,1987,,,0.0,,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,1990,77.1,8.0,0.0,50.4,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,1993,58.1,15.0,0.0,83.4,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,1995,101.2,6.0,0.0,20.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,1997,77.1,11.0,0.0,37.8,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,1998,,,0.0,,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,1999,32.5,7.0,0.0,45.6,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2000,73.0,12.0,0.0,53.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2001,93.2,11.0,0.0,26.0,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2002,81.0,11.0,0.0,46.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2003,36.4,3.0,0.0,6.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2004,32.4,18.0,0.0,99.0,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2005,48.8,15.0,0.0,50.6,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2006,48.6,15.0,0.0,113.8,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2007,89.2,15.0,0.0,37.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2008,73.2,13.0,0.0,52.0,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2009,94.4,15.0,0.0,34.8,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2010,106.3,11.0,0.0,36.4,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2011,46.9,8.0,0.0,66.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2012,113.9,6.0,0.0,26.1,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2013,73.9,15.0,0.0,63.0,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2014,125.8,9.0,0.0,17.0,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2015,,,0.0,,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2016,113.3,8.0,0.0,27.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2017,120.4,7.0,0.0,40.6,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2018,,,0.0,,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2019,100.1,7.0,0.0,38.6,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2020,86.5,10.0,0.0,56.0,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2021,22.9,15.0,11.2,169.0,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2022,113.8,15.0,0.0,22.4,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
December,2024,67.7,11.0,0.0,114.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.021708,12
February,1985,69.0,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,1986,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,1994,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,1997,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,1998,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,1999,,6.0,,45.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2000,80.6,8.0,0.0,18.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2001,79.8,10.0,0.0,20.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
