RETURN_TO_CONTENTS,UNNAMED:_2,UNNAMED:_3,UNNAMED:_4,UNNAMED:_5,UNNAMED:_6,UNNAMED:_7,UNNAMED:_8,UNNAMED:_9,UNNAMED:_10,UNNAMED:_11,UNNAMED:_12,UNNAMED:_13,SOURCE_SHEET,LOAD_TIMESTAMP
Net Electricity Generation by Fuel Type - Cogeneration Separated (GWh),,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
Calendar Year,,Electricity Only Plants,,,,,,,,,Cogeneration2,Total,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
,,Hydro,Geo- thermal,Biogas,Wind,Solar PV,Oil1,Coal,Gas,Sub- total,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2006,,23337.486814,3125.030477,145.761748,615.9945918,0,22.5927405170901,4535.59893785561,7364.3668106273,39146.8321198,2915.76175822053,42062.5938780205,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2007,,23404.094284,3304.657219,144.097992,920.581417,3.37183555814533,1.24419044310798,2354.12863602754,9230.30782752935,39362.483401558144,3058.19146811051,42420.674869668655,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2008,,22123.864422374,3917.0518429,139.62806425,1047.8734501575,3.42105943490658,123.848105714085,3942.64540633161,8001.7874892043,39300.1198403664,3091.78861853487,42391.90845890127,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2009,,23975.2687442967,4538.50379047,146.93146625,1461.69646816979,3.55396390216194,9.01775187122469,2528.47893305586,7030.5123720408,39693.963490056536,2476.24253211516,42170.2060221717,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2010,,24479.2393667602,5507.24036492,151.846468775,1619.91708325574,3.79023851061592,2.04219149679114,1300.01275177854,7820.74155748675,40884.83002298363,2683.7849213312,43568.61494431483,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2011,,24859.560807501,5830.8529082,158.713062425,1936.46407037879,4.08558177118339,2.08233166508187,1476.94175330668,6503.89971375138,40772.60022899911,2495.69791583261,43268.298144831715,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2012,,22667.6906094457,6029.6567882,153.03586925,2057.22147420559,4.77471604584083,3.42934341611092,2720.47623472403,6834.24148649597,40470.52652178325,2678.02746394872,43148.55398573197,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2013,,22798.7847568645,6385.01855575,141.591336725,2000.4685526803,6.64077283781216,3.39501283728202,1618.73529461135,6842.13663713865,39796.7709194449,2560.96248135731,42357.73340080221,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2014,,24074.8805683195,7128.16076845,164.8169513675,2188.81575967279,18.6249896840086,3.0853031293111,1227.7930038814,5326.5565533686,40132.733897873106,2518.66755875348,42651.40145662658,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2015,,24284.6453987755,7681.6493689,175.5063067925,2340.4886331157,36.4625680328905,1.25150417403557,1133.74091732243,5192.19139541827,40845.93609253132,2487.6628109704,43333.59890350173,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
