RETURN_TO_CONTENTS,UNNAMED:_1,UNNAMED:_2,UNNAMED:_3,UNNAMED:_4,UNNAMED:_5,UNNAMED:_6,UNNAMED:_7,UNNAMED:_8,UNNAMED:_9,UNNAMED:_10,UNNAMED:_11,UNNAMED:_12,UNNAMED:_13,UNNAMED:_14,UNNAMED:_15,UNNAMED:_16,UNNAMED:_17,UNNAMED:_18,UNNAMED:_19,UNNAMED:_20,UNNAMED:_21,UNNAMED:_22,UNNAMED:_23,UNNAMED:_24,UNNAMED:_25,UNNAMED:_26,UNNAMED:_27,UNNAMED:_28,UNNAMED:_29,UNNAMED:_30,UNNAMED:_31,UNNAMED:_32,UNNAMED:_33,UNNAMED:_34,UNNAMED:_35,UNNAMED:_36,UNNAMED:_37,UNNAMED:_38,UNNAMED:_39,UNNAMED:_40,UNNAMED:_41,UNNAMED:_42,UNNAMED:_43,UNNAMED:_44,UNNAMED:_45,UNNAMED:_46,UNNAMED:_47,UNNAMED:_48,UNNAMED:_49,UNNAMED:_50,UNNAMED:_51,UNNAMED:_52,SOURCE_SHEET,LOAD_TIMESTAMP
Annual electricity generation and consumption (PJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 - Annual PJ,2025-08-01 08:34:55.241198
Petajoules (PJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 - Annual PJ,2025-08-01 08:34:55.241198
Calendar year,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,Annual % change,4 - Annual PJ,2025-08-01 08:34:55.241198
"Net Generation (PJ)1,2",73.72506498700334,73.52508498700334,77.48562498700333,79.54482498700334,79.76821398700335,80.92094658700333,82.85796978700331,84.94146978700336,89.56521978700334,95.20075878700332,99.20505318700332,100.77151823153477,104.23952134745291,105.56700913238717,110.25593630705502,111.05736816455057,114.43177932977204,117.82653786507275,116.02507063414556,121.23466917569706,123.64923687473022,128.07172981100805,129.13083817372168,130.7005018651652,132.24105102092503,132.39244869739656,137.52026815340412,138.0381486305854,142.13622797096264,142.30256571545397,149.50640132846428,149.5015707944418,151.43339625487394,152.72249067060707,152.61893294544458,151.82080430821807,156.8550764279334,155.77393594979415,155.3428576628351,152.60040492858795,153.7260178036557,156.19769044233416,154.57924615796887,155.91772138608695,156.5112114279194,157.99833075241224,155.673630282236,155.6985685607368,156.69220575673776,156.81747442476996,158.38380589026423,0.009988245705651266,4 - Annual PJ,2025-08-01 08:34:55.241198
Hydro,54.133199999999995,59.389199999999995,55.2384,52.4628,55.8108,65.7324,69.01559999999999,70.1388,65.2356,70.3944,72.6228,70.23883240617623,78.75617716910665,78.15338662560517,81.83891006510004,80.39976739831404,82.63241861623632,81.59586932660041,75.17427652691603,83.72867011178651,92.08335415910291,98.13388210189848,93.31595990955684,82.8921024,90.2380788,81.6851952,87.0862572,77.2716852,88.6535067456162,84.19970579292,97.09172767259999,83.1474615528,84.0230108244,84.26279771639999,79.6539702145464,86.31902577346811,88.13332001433672,89.50247720100359,81.61174448800452,82.1881815187122,86.8505332997502,87.62144851931976,92.55499918177824,89.74905038669304,93.75348790361303,91.43011549304927,86.68096065037513,86.32504142528147,93.85737304782744,94.97077846559532,84.97717596827351,-0.10522818343478302,4 - Annual PJ,2025-08-01 08:34:55.241198
Geothermal,4.8888,4.859999999999999,4.644,4.3812,4.4604,4.0248,4.3416,4.1076,4.1688,4.222799999999999,4.658399999999999,4.19260400801604,4.441671991983959,4.422348,4.453848,6.1398,7.239240000000001,7.7688,7.6716,8.0892,7.5636,7.340012600231952,7.338339399768048,7.669281600000001,8.5878036,9.4887432,9.921733199999998,9.6399972,9.5568882012,9.340675265630772,9.47212703667691,10.7303403276,11.438202517199999,12.0733675884,14.277988234439999,16.521319945692,20.010806513711998,21.18279323097,21.90081438612,23.215429051650002,25.90251178482,27.895070746440002,27.85658486652,28.004901753528,27.825426356544,28.05611363031359,28.200853553747184,28.685855346375924,28.848244927037545,27.83651853476657,31.46696428260445,0.13042025148739844,4 - Annual PJ,2025-08-01 08:34:55.241198
Biogas,0.0273456,0.1488456,0.18934559999999998,0.18934559999999998,0.18934559999999998,0.20230559999999997,0.2066256,0.3281256,0.3686256,0.3764016,0.3789936,0.3789936,0.3789936,0.38075939999999997,0.381348,0.381348,0.470772,0.545292,0.560196,0.560196,0.584496,0.6199794,0.5249889723620844,0.5018004,0.49212468,0.4178268,0.37002599999999997,0.363168,0.47130013080000005,0.6024061836,0.6690997944,0.6845134176,0.7851108527999999,0.7576488612000001,0.7293940623,0.7741388025,0.78302083869,0.78567989643,0.7595617825997208,0.7296684894548928,0.8200817797491071,0.878316846453,0.9355656967778015,0.9471557046460176,0.9414391885808544,0.9612403557375601,0.9769772184737148,0.9467592698055528,0.974870873334,1.0618300675649988,1.10502932146146,0.04068377343610763,4 - Annual PJ,2025-08-01 08:34:55.241198
Wood,2.194231387003333,2.194231387003333,2.194231387003333,2.194231387003333,2.194231387003333,2.194231387003333,2.194231387003333,2.194231387003333,2.194231387003333,2.194231387003333,2.276041387003333,2.303311387003333,2.303311387003333,2.303311387003333,2.303311387003333,2.2960737387319967,2.3890518807609276,2.3625644010623246,2.265285095795592,2.3564554058251117,2.3671808750600314,2.3840105011098625,2.2306351859738567,2.2477176627819513,2.233124864561448,2.2556880608353307,2.5020694940616646,2.0686019030350344,1.486954842119442,1.2630084629209237,1.4686661630814264,1.6069450794630769,1.7014132308359375,1.7326196321582807,1.7266862346021576,1.7969321833753462,1.8080804086058015,1.75737019045923,1.9180680649211734,1.9725890686793206,1.8795948237071856,1.8677114881362469,1.7857823614383275,1.7462269183229604,1.6659842460168743,1.7005327582950396,1.654388982285228,1.7393778258935075,1.5797002116166343,1.450966508601055,1.5908138821004723,0.09638222017560594,4 - Annual PJ,2025-08-01 08:34:55.241198
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024624,0.0035136,0.0036,0.0036,0.0296748,0.048447432,0.0786564,0.1389708,0.4284216,0.49535280000000004,0.5541419808,0.5222719188,1.2885163361999998,2.1896715672,2.21758053048,3.3140931011999997,3.772344420567,5.262107285411244,5.831701499720664,6.971270653363644,7.405997307140123,7.20168678964908,7.879736734822044,8.425759079216519,8.307246624634152,7.43185848275622,7.38333282982392,8.095983530322707,8.260012093684066,9.381496147554852,10.205405322705179,11.534976412654895,14.103267312826151,0.22265246224115476,4 - Annual PJ,2025-08-01 08:34:55.241198
Solar3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012138608009323187,0.012315813965663688,0.012794270047782982,0.013644858638217312,0.014708094376260205,0.01718897776502699,0.023906782216123777,0.06704996286243096,0.1312652449184058,0.20224317256966043,0.27476595047106467,0.35876204524696387,0.4558462810929036,0.5742154280090124,0.7501211413096536,1.0178457832641636,1.3359815034412463,2.164434207510769,0.6201079146197597,4 - Annual PJ,2025-08-01 08:34:55.241198
