PERIOD,year,mean_temperature_c,station_id,station_name,month_name,load_timestamp,month_number
December,2011,13.4,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2012,15.7,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2013,14.6,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2014,13.8,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2015,13.3,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2016,13.9,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2017,16.3,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2018,13.9,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2019,14.5,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2020,14.2,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2021,14.3,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2022,14.4,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
December,2024,15.1,4960,NIWA Station 4960,December,2025-08-01 09:46:31.030696,12
February,1984,15.1,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1985,16.1,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1986,16.0,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1987,14.9,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1988,15.3,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1989,14.9,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1990,17.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1991,15.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1992,14.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1995,15.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1996,15.7,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1997,14.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1998,18.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,1999,16.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2000,15.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2001,15.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2002,13.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2003,14.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2004,14.1,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2005,16.9,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2006,15.4,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2007,14.4,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2008,15.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2009,14.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2010,15.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
