PERIOD,year,mean_temperature_c,station_id,station_name,month_name,load_timestamp,month_number
April,1947,14.9,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1948,14.6,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1949,11.8,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1950,14.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1951,14.9,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1952,14.7,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1953,14.6,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1954,13.7,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1955,16.0,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1956,17.5,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1957,14.5,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1958,13.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1959,14.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1960,13.8,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1961,14.4,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1962,15.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1963,13.5,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1964,14.3,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1965,14.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1966,14.3,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1967,14.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1968,15.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1969,13.4,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1970,15.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1971,15.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1972,14.7,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1973,15.0,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1974,15.7,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1975,15.0,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1976,15.0,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1977,14.5,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1978,17.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1979,14.9,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1980,13.6,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1981,15.8,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1982,13.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1983,14.7,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
April,1984,14.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.045336,4
