CALENDAR_QUARTER,NET_GENERATION_GWH,QUARTER_YEAR,QUARTER_NUMBER,YEAR_OVER_YEAR_CHANGE_PERCENT,SOURCE_SHEET,LOAD_TIMESTAMP
2014-09-01,11432.837963307058,2014,3,-2.2986,1 - Quarterly GWh,2025-08-01 09:08:23.932516
2014-12-01,10619.64034120174,2014,4,-0.9648,1 - Quarterly GWh,2025-08-01 09:08:23.932518
2015-03-01,10248.89603499156,2015,1,0.5946,1 - Quarterly GWh,2025-08-01 09:08:23.932519
2015-06-01,10847.873489382211,2015,2,-0.1622,1 - Quarterly GWh,2025-08-01 09:08:23.932520
2015-09-01,11606.577025822238,2015,3,-1.3313,1 - Quarterly GWh,2025-08-01 09:08:23.932522
2015-12-01,10684.90079489679,2015,4,2.2133,1 - Quarterly GWh,2025-08-01 09:08:23.932523
2016-03-01,10306.694932132435,2016,1,1.4479,1 - Quarterly GWh,2025-08-01 09:08:23.932525
2016-06-01,10692.33981017659,2016,2,-2.583,1 - Quarterly GWh,2025-08-01 09:08:23.932527
2016-09-01,11554.175051544626,2016,3,0.7996,1 - Quarterly GWh,2025-08-01 09:08:23.932528
2016-12-01,10385.469694471096,2016,4,-1.586,1 - Quarterly GWh,2025-08-01 09:08:23.932530
2017-03-01,10211.45010924684,2017,1,0.8963,1 - Quarterly GWh,2025-08-01 09:08:23.932531
2017-06-01,10894.212856882925,2017,2,2.2941,1 - Quarterly GWh,2025-08-01 09:08:23.932533
2017-09-01,11568.232099985124,2017,3,2.9138,1 - Quarterly GWh,2025-08-01 09:08:23.932534
2017-12-01,10636.583096687082,2017,4,2.495,1 - Quarterly GWh,2025-08-01 09:08:23.932536
2018-03-01,10107.713502038174,2018,1,0.3142,1 - Quarterly GWh,2025-08-01 09:08:23.932537
2018-06-01,11178.151073518817,2018,2,5.7222,1 - Quarterly GWh,2025-08-01 09:08:23.932539
2018-09-01,11679.424378339383,2018,3,2.1568,1 - Quarterly GWh,2025-08-01 09:08:23.932540
2018-12-01,10510.047553859016,2018,4,-1.032,1 - Quarterly GWh,2025-08-01 09:08:23.932542
2019-03-01,10368.61245595555,2019,1,1.1681,1 - Quarterly GWh,2025-08-01 09:08:23.932543
2019-06-01,11013.360622044198,2019,2,1.5255,1 - Quarterly GWh,2025-08-01 09:08:23.932545
2019-09-01,11773.137767568063,2019,3,1.4351,1 - Quarterly GWh,2025-08-01 09:08:23.932546
2019-12-01,10733.314363435557,2019,4,0.4531,1 - Quarterly GWh,2025-08-01 09:08:23.932548
2020-03-01,10454.678297129713,2020,1,1.4358,1 - Quarterly GWh,2025-08-01 09:08:23.932549
2020-06-01,10425.08920169246,2020,2,-2.4995,1 - Quarterly GWh,2025-08-01 09:08:23.932551
2020-09-01,11698.844872185176,2020,3,1.2521,1 - Quarterly GWh,2025-08-01 09:08:23.932552
2020-12-01,10664.062707391484,2020,4,2.6825,1 - Quarterly GWh,2025-08-01 09:08:23.932553
2021-03-01,10227.153385759735,2021,1,0.1538,1 - Quarterly GWh,2025-08-01 09:08:23.932555
2021-06-01,10965.003116352134,2021,2,0.6498,1 - Quarterly GWh,2025-08-01 09:08:23.932557
2021-09-01,11528.316785800924,2021,3,-0.345,1 - Quarterly GWh,2025-08-01 09:08:23.932558
2021-12-01,10529.129090069637,2021,4,-1.0102,1 - Quarterly GWh,2025-08-01 09:08:23.932560
2022-03-01,10268.339023664375,2022,1,1.5891,1 - Quarterly GWh,2025-08-01 09:08:23.932561
2022-06-01,10824.384623989452,2022,2,-3.1648,1 - Quarterly GWh,2025-08-01 09:08:23.932563
2022-09-01,11812.75251312087,2022,3,1.1416,1 - Quarterly GWh,2025-08-01 09:08:23.932564
2022-12-01,10620.13654943022,2022,4,1.0475,1 - Quarterly GWh,2025-08-01 09:08:23.932566
2023-03-01,10131.230594642338,2023,1,-2.2894,1 - Quarterly GWh,2025-08-01 09:08:23.932567
2023-06-01,10973.771001132209,2023,2,-0.3595,1 - Quarterly GWh,2025-08-01 09:08:23.932569
2023-09-01,11836.845035866643,2023,3,0.5411,1 - Quarterly GWh,2025-08-01 09:08:23.932570
2023-12-01,10618.562930794962,2023,4,-1.0691,1 - Quarterly GWh,2025-08-01 09:08:23.932572
2024-03-01,10588.16247763304,2024,1,1.2768,1 - Quarterly GWh,2025-08-01 09:08:23.932573
2024-06-01,11272.839963269342,2024,2,8.1318,1 - Quarterly GWh,2025-08-01 09:08:23.932575
2024-09-01,11605.38261111278,2024,3,-0.7989,1 - Quarterly GWh,2025-08-01 09:08:23.932576
2024-12-01,10529.116584169367,2024,4,-1.2654,1 - Quarterly GWh,2025-08-01 09:08:23.932578
2025-03-01,10162.15162058386,2025,1,-0.6356,1 - Quarterly GWh,2025-08-01 09:08:23.932579
