PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
August,1947,,,,109.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1948,,,,101.6,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1949,,,,93.7,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1950,,,,118.1,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1951,,,,232.2,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1952,,,,212.6,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1953,,,,245.1,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1954,,,,164.8,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1955,,,,158.2,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1956,,,,147.1,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1957,,,,96.3,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1958,,,,112.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1959,,,,202.9,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1960,,,,122.2,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1961,,,,173.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1962,,,,168.9,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1963,,,,109.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1964,,,,241.6,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1965,,,,347.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1966,,,,154.2,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1967,,,,166.1,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1968,,,,253.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1969,0.0,23.0,103.1,144.5,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1970,0.0,16.0,221.4,260.7,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1971,0.0,21.0,193.9,238.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1972,,,,172.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1973,0.0,23.0,112.1,166.3,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1974,0.0,20.0,126.6,173.2,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1975,0.0,21.0,158.3,200.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1976,0.0,18.0,100.2,151.3,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1977,0.0,18.0,42.6,88.4,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1978,0.0,18.0,109.6,153.1,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1979,0.0,24.0,216.8,255.6,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1980,0.0,20.0,88.2,130.8,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1981,0.0,23.0,112.3,155.1,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1982,0.0,24.0,23.0,65.0,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
August,1983,0.0,15.0,37.9,83.1,1464,NIWA Station 1464,August,2025-08-01 09:46:31.000251,8
December,1932,,,,66.3,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1933,,,,94.0,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1934,,,,77.2,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1935,,,,38.4,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1936,,,,55.6,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1937,,,,55.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1938,,,,225.3,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1939,,,,229.6,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1940,,,,59.9,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1941,,,,132.6,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1942,,,,124.7,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1943,,,,117.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1944,,,,133.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1945,,,,65.3,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1946,,,,103.4,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1947,,,,103.9,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1948,,,,91.7,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1949,,,,84.6,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1950,,,,75.2,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1951,,,,122.9,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1952,,,,94.7,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1953,,,,64.5,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1954,,,,104.9,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1955,,,,48.8,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1956,,,0.0,122.9,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1957,,,,92.2,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1958,,,,211.3,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1959,,,0.0,152.9,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1960,,,,100.8,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1961,,,,89.4,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1962,,,0.0,93.0,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1963,,,0.0,83.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1964,,,,116.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1965,,,0.0,114.0,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1966,,,,119.6,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1967,,,,180.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1968,,,0.0,128.0,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1969,45.4,13.0,0.0,149.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1970,126.3,10.0,0.0,40.0,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1971,9.4,12.0,22.1,92.8,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1972,,,0.0,67.0,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1973,74.0,9.0,0.0,61.9,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1974,66.8,11.0,0.0,107.2,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1975,45.8,13.0,0.0,70.4,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1976,0.0,14.0,4.2,130.5,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1977,19.3,16.0,0.0,161.4,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1978,21.5,19.0,0.0,142.0,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1979,10.3,15.0,0.0,144.8,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1980,0.0,15.0,0.0,88.4,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1981,4.7,14.0,0.0,87.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1982,67.2,12.0,0.0,87.1,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
December,1983,9.4,18.0,16.9,202.5,1464,NIWA Station 1464,December,2025-08-01 09:46:31.000251,12
February,1933,,,,143.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1934,,,,207.8,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1935,,,,165.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1936,,,,259.6,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1937,,,,134.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1938,,,,259.8,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1939,,,,225.3,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1940,,,,149.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1941,,,,85.6,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1942,,,,28.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1943,,,,75.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1944,,,,129.3,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1945,,,,93.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1946,,,,5.1,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1947,,,,59.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1948,,,,22.6,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1949,,,,119.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1950,,,,70.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1951,,,,101.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1952,,,,199.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1953,,,,72.1,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1954,,,,58.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1955,,,,17.5,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1956,,,,103.1,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1957,,,,27.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1958,,,,318.8,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1959,,,,89.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1960,,,,207.5,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1961,,,,60.7,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1962,,,0.0,52.1,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1963,,,0.0,94.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1964,,,,31.5,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1965,,,,135.1,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1966,,,,253.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1967,,,,254.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1968,,,0.0,93.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1969,4.0,9.0,26.2,180.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1970,119.8,6.0,0.0,25.7,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1971,38.2,16.0,12.3,198.8,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1972,,,0.0,49.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1973,130.5,3.0,0.0,6.8,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1975,73.0,10.0,0.0,51.6,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1976,51.2,9.0,0.0,69.6,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1977,83.1,10.0,0.0,53.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1978,73.6,9.0,0.0,79.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1979,29.8,15.0,0.0,161.5,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1980,30.7,14.0,0.0,129.7,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1981,72.3,10.0,0.0,38.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1982,81.9,8.0,0.0,127.0,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1983,74.2,5.0,0.0,39.9,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
February,1984,68.8,10.0,0.0,53.4,1464,NIWA Station 1464,February,2025-08-01 09:46:31.000251,2
January,1933,,,,83.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1934,,,,67.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1935,,,,35.6,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1936,,,,214.9,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
