PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
April,1947,0.0,14.0,0.0,92.0,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1948,11.9,16.0,0.0,127.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1949,10.6,16.0,21.5,142.8,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1950,7.8,12.0,0.0,80.5,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1951,3.4,21.0,0.0,109.3,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1952,27.4,10.0,0.0,73.4,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1953,0.0,20.0,11.0,143.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1954,0.0,12.0,30.6,113.2,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1955,16.2,10.0,0.0,143.9,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1956,0.0,22.0,150.1,298.8,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1957,18.9,13.0,0.0,57.5,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1958,13.1,12.0,0.0,29.0,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1959,7.2,15.0,60.2,189.6,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1960,20.3,11.0,0.0,24.4,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1961,18.0,11.0,0.0,84.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1962,0.0,15.0,62.6,164.1,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
April,1963,0.0,9.0,0.0,28.9,2109,NIWA Station 2109,April,2025-08-01 09:46:31.011680,4
