fid,flood_zone_id,geometry_type,coordinate_count,geometry_json,load_timestamp,data_source
1,1,Polygon,14,"{""type"": ""Polygon"", ""coordinates"": [[[175.292452854919, -37.9978750640828], [175.292746605817, -37.9981284552229], [175.292866754244, -37.9979634025386], [175.292853608313, -37.9977634382329], [175.293010024105, -37.9975887047037], [175.293458985486, -37.9977680617557], [175.293704981996, -37.9981242749106], [175.293709168614, -37.9985069026271], [175.293548006493, -37.9986717298802], [175.293310761062, -37.9987047106355], [175.292745522964, -37.9983543217951], [175.292609612115, -37.9984312638621], [175.292473700978, -37.9985082057801], [175.292452854919, -37.9978750640828]]]}",2025-08-01 10:29:01.403324,Waikato Regional Hazards Portal
2,2,Polygon,7,"{""type"": ""Polygon"", ""coordinates"": [[[175.292496228133, -37.9991923955886], [175.293486526628, -37.999261599818], [175.293547533841, -37.9996218458913], [175.293376536627, -37.9997880024243], [175.293250619039, -37.9998009519229], [175.292518743518, -37.9998762160306], [175.292496228133, -37.9991923955886]]]}",2025-08-01 10:29:01.403405,Waikato Regional Hazards Portal
